Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Stiff Leg Deadlift (Dumbbell)",1,70.0,8,0,0,"","",
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Stiff Leg Deadlift (Dumbbell)",2,70.0,8,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Shrug (Machine)",1,100.0,10,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Shrug (Machine)",2,100.0,16,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Chest Supported Row",1,90.0,12,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Chest Supported Row",2,135.0,8,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Pull Up",1,15.0,12,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Pull Up",2,7.0,10,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Lat Pulldown (Single Arm)",1,85.0,8,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Lat Pulldown (Single Arm)",2,70.0,9,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Seated Cable Row (Medium Grip)",1,80.0,7,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Seated Cable Row (Medium Grip)",2,65.0,9,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Cable Rear Delt Row",1,12.5,15,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Cable Rear Delt Row",2,12.5,12,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Ab Wheel",1,25.0,15,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Ab Wheel",2,0.0,15,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Preacher Curl (Machine)",1,88.0,12,0,0,"",,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Preacher Curl (Machine)",2,65.0,16,0,0,,,
2025-01-17 18:47:56,"Evening Workout",1h 7m,"Preacher Curl (Machine)",3,50.0,8,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Bulgarian Split Squat",1,45.0,8,0,0,"","",
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Bulgarian Split Squat",2,35.0,10,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Lying Leg Curl (Machine)",1,130.0,8,0,0,"",,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Lying Leg Curl (Machine)",2,100.0,10,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Leg Extension (Machine)",1,160.0,11,0,0,"",,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Leg Extension (Machine)",2,130.0,15,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Leg Press",1,410.0,8,0,0,"",,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Leg Press",2,270.0,12,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Hip Thrust Machine",1,70.0,8,0,0,"",,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Hip Thrust Machine",2,45.0,15,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Hip Abductor (Machine)",1,190.0,15,0,0,"",,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Hip Abductor (Machine)",2,160.0,15,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Calf Press on Seated Leg Press",1,210.0,12,0,0,"",,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Calf Press on Seated Leg Press",2,210.0,10,0,0,,,
2025-01-19 11:01:55,"Morning Workout",1h 3m,"Calf Press on Seated Leg Press",3,128.0,12,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Pec Deck (Machine)",1,175.0,13,0,0,"","",
2025-01-20 12:15:26,"Midday Workout",55m,"Pec Deck (Machine)",2,165.0,13,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Chest Press (Machine)",1,95.0,8,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Chest Press (Machine)",2,65.0,14,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Overhead Press (Dumbbell)",1,45.0,11,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Overhead Press (Dumbbell)",2,35.0,4,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Close Grip DB",1,60.0,8,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Close Grip DB",2,60.0,7,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Lateral Raise (Dumbbell)",1,27.5,7,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Lateral Raise (Dumbbell)",2,20.0,12,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Tricep Rope Push down",1,57.5,12,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Tricep Rope Push down",2,42.5,14,0,0,,,
2025-01-20 12:15:26,"Midday Workout",55m,"Low Cable Chest Fly",1,17.5,17,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Ab Wheel",1,25.0,13,0,0,"",,
2025-01-20 12:15:26,"Midday Workout",55m,"Ab Wheel",2,0.0,10,0,0,,,
2025-01-21 17:37:47,"Afternoon Workout",1h 6m,"Rope Pullover",1,57.5,12,0,0,"","",
2025-01-21 17:37:47,"Afternoon Workout",1h 6m,"Rope Pullover",2,50.0,44,0,0,,,
2025-01-21 17:37:47,"Afternoon Workout",1h 6m,"Iso-Lateral Row (Machine)",1,115.0,12,0,0,"",,
2025-01-21 17:37:47,"Afternoon Workout",1h 6m,"Iso-Lateral Row (Machine)",2,90.0,15,0,0,,,
2025-01-21 17:37:47,"Afternoon Workout",1h 6m,"Bent Over Row - Underhand (Barbell)",1,90.0,15,0,0,"",,
2025-01-21 17:37:47,"Afternoon Workout",1h 6m,"Bent Over Row - Underhand (Barbell)",2,90.0,15,0,0,,,
